Menu Item,Serving Size,Calories,Calories from Fat,Total Fat (g),Saturated Fat (g),Trans Fat (g),Carbs (g),Dietary Fiber (g),Sugars (g),Protein (g),Restaurant,Category
Egg McMuffin,137 g,300,110,12,5,0,30,2,3,18,McDonald's,Breakfast
Sausage McMuffin,111 g,370,200,22,8,0,29,2,2,14,McDonald's,Breakfast
Sausage McMuffin with Egg,162 g,450,250,27,10,0,30,2,2,21,McDonald's,Breakfast
English Muffin,56 g,160,30,3,0.5,0,27,2,2,5,McDonald's,Breakfast
"Bacon, Egg & Cheese Biscuit (Regular Size Biscuit)",140 g,420,210,23,12,0,37,2,3,15,McDonald's,Breakfast
"Bacon, Egg & Cheese Biscuit (Large Size Biscuit)",154 g,480,240,27,12,0,43,3,4,15,McDonald's,Breakfast
Sausage Biscuit with Egg (Regular Size Biscuit),163 g,510,290,33,14,0,36,2,2,18,McDonald's,Breakfast
Sausage Biscuit with Egg (Large Size Biscuit),177 g,570,330,37,15,0,42,3,3,18,McDonald's,Breakfast
Sausage Biscuit (Regular Size Biscuit),117 g,430,240,27,12,0,34,2,2,11,McDonald's,Breakfast
Sausage Biscuit (Large Size Biscuit),131 g,480,280,31,13,0,39,3,3,11,McDonald's,Breakfast
Southern Style Chicken Biscuit (Regular Size Biscuit),143 g,410,180,20,8,0,41,2,3,17,McDonald's,Breakfast
Southern Style Chicken Biscuit (Large Size Biscuit),157 g,470,220,24,9,0,46,3,4,17,McDonald's,Breakfast
Biscuit (Regular Size),76 g,260,110,12,7,0,33,2,2,5,McDonald's,Breakfast
Biscuit (Large Size),90 g,320,140,16,8,0,39,3,3,5,McDonald's,Breakfast
"Bacon, Egg & Cheese McGriddles",164 g,420,160,18,8,0,48,2,15,15,McDonald's,Breakfast
"Sausage, Egg & Cheese McGriddles",201 g,560,290,32,12,0,48,2,15,20,McDonald's,Breakfast
Sausage McGriddles,141 g,420,200,22,8,0,44,2,15,11,McDonald's,Breakfast
Big Breakfast (Regular Size Biscuit),269 g,740,430,48,17,0,51,3,3,28,McDonald's,Breakfast
Big Breakfast (Large Size Biscuit),283 g,800,470,52,18,0,56,4,3,28,McDonald's,Breakfast
Deluxe Breakfast (Reg. Size Biscuit) w/o Syrup & Margarine,420 g,1090,510,56,19,0,111,6,17,36,McDonald's,Breakfast
